"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0003","RecF protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00030","recombination protein F",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0004","DNA gyrase subunit B","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00050","DNA gyrase subunit B",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0008","glycyl-tRNA synthetase beta chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00090","glycyl-tRNA synthetase subunit beta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0010","DNA-3-methyladenine glycosidase I","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00110","DNA-3-methyladenine glycosidase I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0012","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0013","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0021","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00230","Rossmann fold nucleotide-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0022","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00240","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0024","coproporphyrinogen III oxidase, aerobic","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00280","coproporphyrinogen III oxidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0026","phospholipase C, PlcB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00300","phospholipase C, PlcB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0027","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00310","peptidyl-prolyl isomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0028","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00320","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0030","CosX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00360","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0033","Histidine phosphotransfer protein HptC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00420","histidine phosphotransfer domain-containing protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0035","tryptophan synthase alpha chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00440","tryptophan synthase subunit alpha",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0036","tryptophan synthase beta chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00450","tryptophan synthase subunit beta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0038","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00470","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0039","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00480","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0042","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00530","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0043","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00550","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0047","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00590","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0048","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00600","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0055","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00670","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0057","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00690","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0058","DsbM","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00700","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0059","osmotically inducible protein OsmC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00710","osmotically inducible protein OsmC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0060","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00720","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0062","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00740","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0063","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00750","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0064","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_00760","hypothetical protein",""
